Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value,Season,pollutant,value_std,AQI_cat,AQI_cat_simplified
167607,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,316,Brownsville (Cd16),2009-12-01,24.03,Winter,NO2,75.32454346051063,Modéré,0
667203,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,307,Gramercy Park - Murray Hill,2020-06-01,19.72,Summer,NO2,88.87691970901066,Modéré,0
222531,386,Ozone (O3),Mean,ppb,Uhf42,304,Upper West Side,2013-06-01,26.93,Summer,O3,0.11849266675368951,Dangereux,1
222614,386,Ozone (O3),Mean,ppb,Uhf42,408,Jamaica,2012-06-01,33.78,Summer,O3,0.16642412710855148,Dangereux,1
412075,386,Ozone (O3),Mean,ppb,Cd,105,Midtown (Cd5),2016-06-01,26.92,Summer,O3,0.12157802975255952,Dangereux,1
643330,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,105,Crotona -Tremont,2019-01-01,17.64,Winter,NO2,77.96564047834201,Modéré,0
412019,386,Ozone (O3),Mean,ppb,Uhf42,308,Greenwich Village - Soho,2016-05-31,30.03,Spring,O3,0.13456210210535188,Dangereux,1
176591,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,503,Willowbrook,2009-12-01,16.0,Winter,NO2,56.28756297107128,Modéré,0
174652,383,Sulfur Dioxide (So2),Mean,ppb,Uhf42,406,Fresh Meadows,2008-12-01,4.02,Winter,SO2,16.53590531763951,Bon,0
336594,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,407,Southwest Queens,2014-12-01,24.5,Winter,NO2,117.04542715089991,Mauvais,1
336802,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,304,Bushwick (Cd4),2015-01-01,20.34,Winter,NO2,72.56812459923336,Modéré,0
412713,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,207,Kingsbridge Heights And Bedford (Cd7),2016-06-01,15.98,Summer,NO2,67.9015374044185,Modéré,0
667443,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,405,Ridgewood - Forest Hills,2020-06-01,10.49,Summer,NO2,45.075918810704266,Bon,0
643303,375,Nitrogen Dioxide (No2),Mean,ppb,Borough,1,Bronx,2019-01-01,16.01,Winter,NO2,50.575190659953684,Bon,0
166663,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,316,Brownsville (Cd16),2009-06-01,21.58,Summer,NO2,91.9121146008945,Modéré,0
216394,386,Ozone (O3),Mean,ppb,Cd,208,Riverdale And Fieldston (Cd8),2011-06-01,31.3,Summer,O3,0.13774784871947407,Dangereux,1
167559,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,409,Kew Gardens And Woodhaven (Cd9),2008-12-01,24.07,Winter,NO2,109.17041605620338,Mauvais,1
167511,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,103,Lower East Side And Chinatown (Cd3),2008-12-01,31.8,Winter,NO2,101.18652889311691,Mauvais,1
643723,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,503,Tottenville And Great Kills (Cd3),2019-01-01,10.18,Winter,NO2,31.85797503783617,Bon,0
741129,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,102,Greenwich Village And Soho (Cd2),2021-01-01,21.21,Winter,NO2,68.3195559997597,Modéré,0
165089,383,Sulfur Dioxide (So2),Mean,ppb,Cd,503,Tottenville And Great Kills (Cd3),2011-12-01,0.64,Winter,SO2,2.2735762950261784,Bon,0
176645,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,204,East New York,2011-12-01,20.67,Winter,NO2,92.70855762156677,Modéré,0
172738,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,407,Southwest Queens,2012-12-01,19.65,Winter,NO2,67.29545928197743,Modéré,0
221870,386,Ozone (O3),Mean,ppb,Uhf34,210,Coney Island - Sheepshead Bay,2012-06-01,37.08,Summer,O3,0.1144600011976052,Dangereux,1
166850,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,408,Hillcrest And Fresh Meadows (Cd8),2012-06-01,16.29,Summer,NO2,68.64843582395173,Modéré,0
643337,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,107,Hunts Point - Mott Haven,2019-06-01,15.52,Summer,NO2,75.79577972003672,Modéré,0
